,On Campus,Job Function,Unnamed: 0,Year,cnt,skill
0,NonOCI,Other,0,2011,33,excel
1,NonOCI,Other,1,2011,16,lean six sigma
2,NonOCI,Other,2,2011,13,statistics
3,NonOCI,Other,3,2011,12,forecast
4,NonOCI,Other,4,2011,10,prediction
5,NonOCI,Other,5,2011,9,word
6,NonOCI,Other,6,2011,7,access
7,NonOCI,Other,7,2011,7,powerpoint
8,NonOCI,Other,8,2011,6,adobe
9,NonOCI,Other,9,2011,6,agile
10,NonOCI,Other,10,2011,6,auditing
11,NonOCI,Other,11,2011,4,process design
12,NonOCI,Other,12,2011,4,illustrator
13,NonOCI,Other,13,2011,3,product design
14,NonOCI,Other,14,2011,3,spring
15,NonOCI,Other,15,2011,3,procurement
16,NonOCI,Other,16,2011,3,spark
17,NonOCI,Other,17,2011,3,bi
18,NonOCI,Other,18,2011,3,visio
19,NonOCI,Other,19,2011,3,virtualization
20,NonOCI,Other,20,2011,3,jsp
21,NonOCI,Other,21,2011,3,sas
22,NonOCI,Other,22,2011,1,process improvement
23,NonOCI,Other,23,2011,1,correlation
24,NonOCI,Other,24,2011,1,rest
25,NonOCI,Other,25,2011,1,javascript
26,NonOCI,Other,26,2011,1,cloud
27,NonOCI,Other,27,2011,1,kpis
28,NonOCI,Other,28,2011,1,ux
29,NonOCI,Other,29,2011,1,bayes
30,NonOCI,Other,0,2012,57,excel
31,NonOCI,Other,1,2012,10,word
32,NonOCI,Other,2,2012,10,access
33,NonOCI,Other,3,2012,10,powerpoint
34,NonOCI,Other,4,2012,8,auditing
35,NonOCI,Other,5,2012,6,strong leadership
36,NonOCI,Other,6,2012,6,sql
37,NonOCI,Other,7,2012,5,sharepoint
38,NonOCI,Other,8,2012,4,outlook
39,NonOCI,Other,9,2012,4,lean six sigma
40,NonOCI,Other,10,2012,4,advisory
41,NonOCI,Other,11,2012,4,dashboard
42,NonOCI,Other,12,2012,4,statistics
43,NonOCI,Other,13,2012,4,spreadsheets
44,NonOCI,Other,14,2012,4,cash flow
45,NonOCI,Other,15,2012,3,procurement
46,NonOCI,Other,16,2012,3,pr
47,NonOCI,Other,17,2012,3,spark
48,NonOCI,Other,18,2012,3,cms
49,NonOCI,Other,19,2012,2,html
50,NonOCI,Other,20,2012,2,quickbooks
51,NonOCI,Other,21,2012,2,erp
52,NonOCI,Other,22,2012,2,visualization
53,NonOCI,Other,23,2012,2,cpa
54,NonOCI,Other,24,2012,2,agile
55,NonOCI,Other,25,2012,2,microsoft word
56,NonOCI,Other,26,2012,2,roi
57,NonOCI,Other,27,2012,1,access
58,NonOCI,Other,28,2012,1,seo
59,NonOCI,Other,29,2012,1,ruby
60,NonOCI,Other,0,2013,24,excel
61,NonOCI,Other,1,2013,17,auditing
62,NonOCI,Other,2,2013,11,access
63,NonOCI,Other,3,2013,10,advisory
64,NonOCI,Other,4,2013,6,forecast
65,NonOCI,Other,5,2013,5,powerpoint
66,NonOCI,Other,6,2013,5,statistics
67,NonOCI,Other,7,2013,5,asp
68,NonOCI,Other,8,2013,4,word
69,NonOCI,Other,9,2013,3,cpa
70,NonOCI,Other,10,2013,3,spring
71,NonOCI,Other,11,2013,2,sql
72,NonOCI,Other,12,2013,2,html
73,NonOCI,Other,13,2013,2,cash flow
74,NonOCI,Other,14,2013,2,crm
75,NonOCI,Other,15,2013,2,mentorship
76,NonOCI,Other,16,2013,2,agile
77,NonOCI,Other,17,2013,2,probability
78,NonOCI,Other,18,2013,2,virtualization
79,NonOCI,Other,19,2013,2,visualization
80,NonOCI,Other,20,2013,1,telecommunication
81,NonOCI,Other,21,2013,1,spreadsheets
82,NonOCI,Other,22,2013,1,dashboard
83,NonOCI,Other,23,2013,1,outlook
84,NonOCI,Other,24,2013,1,procurement
85,NonOCI,Other,25,2013,1,salesforce
86,NonOCI,Other,26,2013,1,strong leadership
87,NonOCI,Other,27,2013,1,bi
88,NonOCI,Other,28,2013,1,lean six sigma
89,NonOCI,Other,29,2013,1,sap
90,NonOCI,Other,0,2014,26,excel
91,NonOCI,Other,1,2014,12,access
92,NonOCI,Other,2,2014,10,auditing
93,NonOCI,Other,3,2014,8,word
94,NonOCI,Other,4,2014,5,powerpoint
95,NonOCI,Other,5,2014,4,statistics
96,NonOCI,Other,6,2014,4,forecast
97,NonOCI,Other,7,2014,4,advisory
98,NonOCI,Other,8,2014,3,mentorship
99,NonOCI,Other,9,2014,3,spreadsheets
100,NonOCI,Other,10,2014,3,spring
101,NonOCI,Other,11,2014,3,sql
102,NonOCI,Other,12,2014,3,procurement
103,NonOCI,Other,13,2014,2,visualization
104,NonOCI,Other,14,2014,2,outlook
105,NonOCI,Other,15,2014,2,cpa
106,NonOCI,Other,16,2014,2,bi
107,NonOCI,Other,17,2014,1,sap
108,NonOCI,Other,18,2014,1,erp
109,NonOCI,Other,19,2014,1,html
110,NonOCI,Other,20,2014,1,virtualization
111,NonOCI,Other,21,2014,1,cash flow
112,NonOCI,Other,22,2014,1,oracle
113,NonOCI,Other,23,2014,1,microsoft word
114,NonOCI,Other,24,2014,1,java
115,NonOCI,Other,25,2014,1,sharepoint
116,NonOCI,Other,26,2014,1,cloud
117,NonOCI,Other,27,2014,1,crm
118,NonOCI,Other,28,2014,1,dashboard
119,NonOCI,Other,29,2014,1,rfp
120,NonOCI,Other,0,2015,49,excel
121,NonOCI,Other,1,2015,17,word
122,NonOCI,Other,2,2015,13,powerpoint
123,NonOCI,Other,3,2015,11,access
124,NonOCI,Other,4,2015,7,auditing
